asu	read	taxon	weight	region
IOBAS.KAM	6.57	echino	0	IOBAS
KAUST.A1	327.73	echino	0.05	KAUST
KAUST.C1	32.45	echino	0.11	KAUST
KAUST.C2	1198.76	echino	0.24	KAUST
KAUST.C3	15.24	echino	0.01	KAUST
KUCORPI.KAR	0	echino	0	KUCORPI
KUCORPI.PAL1	2.58	echino	0	KUCORPI
KUCORPI.PAL2	2.75	echino	0	KUCORPI
AZTI.38	4078.27	annelid	1.1	AZTI
AZTI.39	355.18	annelid	0.96	AZTI
AZTI.40	2424.12	annelid	0.74	AZTI
AZTI.41	618.9	annelid	1.36	AZTI
AZTI.42	1351.41	annelid	1.9	AZTI
AZTI.43	987.16	annelid	0.71	AZTI
CNRS.A1	2982.93	annelid	0.95	CNRS
CNRS.A2	2611.35	annelid	0.8	CNRS
CNRS.A3	2745.52	annelid	1.04	CNRS
CNRS.N1	1825.3	annelid	0.99	CNRS
CNRS.N2	185.44	annelid	0.94	CNRS
CNRS.N3	755.98	annelid	0.47	CNRS
CNRS.S1	1188.95	annelid	1.18	CNRS
CNRS.S2	1915.98	annelid	1.04	CNRS
CNRS.S3	1168.04	annelid	0.38	CNRS
CONISMA.1	830.89	annelid	0.3	CONISMA
CONISMA.2	3412.42	annelid	0.51	CONISMA
CONISMA.3	1919.42	annelid	0.87	CONISMA
CONISMA.4	4736.85	annelid	0.77	CONISMA
CONISMA.5	5130.91	annelid	0.78	CONISMA
CONISMA.6	4136.9	annelid	0.9	CONISMA
CONISMA.7	6665.91	annelid	1.38	CONISMA
IOBAS.ALA	7952.55	annelid	0.71	IOBAS
IOBAS.CHEA	7700.22	annelid	2.02	IOBAS
IOBAS.CHEB	8050.83	annelid	1.17	IOBAS
IOBAS.KAM	8084.49	annelid	1.37	IOBAS
KAUST.A1	340.17	annelid	0.61	KAUST
KAUST.C1	668.59	annelid	0.45	KAUST
KAUST.C2	483.18	annelid	0.86	KAUST
KAUST.C3	141.37	annelid	0.28	KAUST
KUCORPI.KAR	23.35	annelid	0.02	KUCORPI
KUCORPI.PAL1	82.46	annelid	0.01	KUCORPI
KUCORPI.PAL2	216.45	annelid	0.03	KUCORPI
AZTI.38	639.06	other	0.2	AZTI
AZTI.39	804.04	other	0.25	AZTI
AZTI.40	2455.03	other	0.14	AZTI
AZTI.41	469.19	other	0.11	AZTI
