AZTI-38	AZTI-39	AZTI-40	AZTI-41	AZTI-42	AZTI-43	CNRS-A1	CNRS-A2	CNRS-A3	CNRS-N1	CNRS-N2	CNRS-N3	CNRS-S1	CNRS-S2	CNRS-S3	CONISMA-1	CONISMA-2	CONISMA-3	CONISMA-4	CONISMA-5	CONISMA-6	CONISMA-7	IOBAS-ALA	IOBAS-CHEA	IOBAS-CHEB	IOBAS-KAM	KAUST-A1	KAUST-C1	KAUST-C2	KAUST-C3	KUCORPI-KAR	KUCORPI-PAL1	KUCORPI-PAL2	Class
0	0	0	0	0	0	0	0	1.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Gastropoda
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.24	0	0	0	0	Gastropoda
0	3.49	24.93	15.81	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Gastropoda
0	0	0	0	1.69	3.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Gastropoda
0	0	0	0	0	5.44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Gastropoda
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.46	0	0	0	0	0	0	0	0	0	0.71	0.66	0	228.81	0	0	1.73	0	Gastropoda
0	0.64	819.73	3826.68	15.36	9.28	0	1.35	1.41	0	0	0	0	0.69	64.38	1.42	0	0	2.08	0	0	0	0	0	0	0	0	0	0	0	0	0	2.76	Gastropoda
0	0	3.85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Gastropoda
0	0	20.59	0	0	0	0	0	0	0	0	0	0	0.68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Gastropoda
0	0	1.16	0	0	0	0	13.99	0	0	64.3	0	0	0	0	0.78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Gastropoda
0	0	1.48	1.27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Gastropoda
0	0	1.96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Gastropoda
0	0	2.62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Gastropoda
0	0	1.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Gastropoda
0	0	3.24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Gastropoda
0	0	3.98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Gastropoda
0	0	1.99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Gastropoda
0	0	4.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Gastropoda
0	0	0	7.88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Gastropoda
0	0	0	5.59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Gastropoda
0	0	0	1.46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Gastropoda
0	0	0	19.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Gastropoda
0	0	0	1.52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Gastropoda
0	0	0	1.51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Gastropoda
0	0	0	1.39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Gastropoda
0	0	0	7.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Gastropoda
0	0	0	47.34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Gastropoda
0	0	0	46.55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Gastropoda
0	0	0	5.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Gastropoda
0	0	0	1.38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Gastropoda
0	0	0	2.85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Gastropoda
0	0	0	0	0	0	0	0	0	0	13.89	0	0	0	3.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Gastropoda
0	0	0	1.46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.4	0	4.27	0	70.85	Gastropoda
0	0	0	0	0	0	0	25.1	0	0	0	0	0	103.85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Gastropoda
0	0	0	0	0	0	0	1.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Gastropoda
